;APPLE;AND;IPHONE;NEW;EVENT;PRO;AIR;MAC;MACBOOK;HAS;IPAD;HAVE;ITS;SAID;ALSO;MACOS;STUDIO;MARCH;RUSSIA;WHILE;LAUNCH;GOOGLE;MINI;TECH;BEEN;DISPLAY;IOS;MICROSOFT;USERS;COMPANY;MAX;APPLE&AMP;GIANTS;IPADOS;LAUNCHED;NEXT;PEEK;STEVE;YEAR;MONTEREY;OVER;REPORT;REPORTEDLY;SERIES;SHIPMENTS;TIPPED;CHIP;EXPECTED;META;MODELS
APPLE;0;71;41;35;35;37;27;39;16;22;20;22;18;15;10;3;13;19;18;7;17;15;9;19;11;12;7;14;10;15;8;11;10;0;4;8;12;8;6;0;17;18;8;4;7;7;13;8;10;6
AND;71;0;41;31;16;25;20;29;3;6;21;20;13;10;11;9;10;6;20;3;8;15;4;16;6;9;4;12;8;4;8;6;9;2;5;4;5;0;3;7;10;9;3;3;5;3;6;3;10;3
IPHONE;41;41;0;32;17;16;20;13;2;5;22;9;8;10;7;0;11;9;4;11;12;2;7;2;6;10;2;0;1;3;8;5;0;2;8;4;3;0;1;0;5;5;1;8;2;5;7;5;0;2
NEW;35;31;32;0;19;20;23;20;9;3;16;5;6;6;4;0;9;10;2;3;9;2;7;0;3;9;2;1;2;1;6;4;0;0;4;4;1;0;2;0;2;6;4;3;2;1;3;7;0;5
EVENT;35;16;17;19;0;8;20;18;8;2;15;3;0;2;3;0;9;18;0;0;14;0;9;0;2;7;0;0;0;4;2;5;0;0;5;2;12;0;0;0;2;4;3;0;0;3;6;6;0;4
PRO;37;25;16;20;8;0;11;23;13;3;2;7;6;12;2;1;1;5;8;3;10;6;9;4;3;3;0;4;1;4;9;4;4;0;2;2;1;0;2;0;4;12;8;1;2;4;8;6;4;4
AIR;27;20;20;23;20;11;0;22;13;5;23;4;2;4;3;0;9;9;0;0;12;0;6;0;2;8;0;0;3;0;0;0;0;0;2;2;2;0;2;0;0;6;4;0;0;5;4;5;0;4
MAC;39;29;13;20;18;23;22;0;19;6;13;5;4;8;2;19;13;10;0;3;13;0;11;0;4;9;2;0;3;4;3;1;0;0;2;4;2;0;2;11;0;11;9;2;0;4;10;7;0;7
MACBOOK;16;3;2;9;8;13;13;19;0;3;2;2;2;7;1;1;0;6;0;1;8;0;6;0;1;0;0;0;0;1;0;1;0;0;0;2;0;0;2;0;0;6;5;0;0;2;6;5;0;6
HAS;22;6;5;3;2;3;5;6;3;0;2;1;5;3;5;2;0;1;0;4;5;0;2;8;6;0;2;0;1;5;0;0;2;0;1;0;0;4;2;0;5;7;4;0;1;1;2;1;0;1
IPAD;20;21;22;16;15;2;23;13;2;2;0;5;0;0;3;0;9;7;0;2;6;0;2;0;3;8;2;0;5;0;0;0;0;12;2;2;2;0;0;0;0;2;0;0;0;3;2;2;0;0
HAVE;22;20;9;5;3;7;4;5;2;1;5;0;7;4;5;1;0;1;6;1;1;6;1;4;8;2;2;6;5;1;1;3;4;0;1;0;1;0;0;0;4;2;1;2;0;0;2;0;6;2
ITS;18;13;8;6;0;6;2;4;2;5;0;7;0;6;0;0;2;0;4;2;1;5;0;1;2;2;0;3;0;1;0;2;0;0;0;2;0;0;0;0;2;2;1;2;3;1;1;0;2;1
SAID;15;10;10;6;2;12;4;8;7;3;0;4;6;0;0;0;0;1;2;2;2;2;0;3;3;0;0;0;0;3;0;2;1;0;0;2;0;0;0;0;3;4;3;0;2;0;4;0;0;2
ALSO;10;11;7;4;3;2;3;2;1;5;3;5;0;0;0;1;0;0;4;5;3;0;1;8;0;0;0;0;2;5;2;0;0;0;2;2;0;4;0;0;1;1;1;0;0;1;2;3;0;1
MACOS;3;9;0;0;0;1;0;19;1;2;0;1;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;1
STUDIO;13;10;11;9;9;1;9;13;0;0;9;0;2;0;0;0;0;5;0;2;4;0;1;0;0;9;0;0;1;1;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0
MARCH;19;6;9;10;18;5;9;10;6;1;7;1;0;1;0;0;5;0;0;0;10;0;5;0;2;3;0;0;0;3;1;2;0;0;3;0;3;0;0;0;0;3;1;0;0;2;3;3;0;1
RUSSIA;18;20;4;2;0;8;0;0;0;0;0;6;4;2;4;0;0;0;0;0;0;12;0;12;0;0;0;10;0;0;0;0;8;0;0;0;0;0;0;0;4;0;0;0;2;0;0;0;10;0
WHILE;7;3;11;3;0;3;0;3;1;4;2;1;2;2;5;1;2;0;0;0;1;0;0;4;0;2;0;0;1;4;0;0;0;2;1;2;0;4;0;0;0;0;0;4;0;0;0;0;0;2
LAUNCH;17;8;12;9;14;10;12;13;8;5;6;1;1;2;3;0;4;10;0;1;0;0;6;0;3;4;0;0;0;2;3;2;0;0;10;2;1;0;2;0;0;9;6;0;0;5;6;3;0;1
GOOGLE;15;15;2;2;0;6;0;0;0;0;0;6;5;2;0;0;0;0;12;0;0;0;0;9;0;0;0;11;0;0;0;0;8;0;0;0;0;0;1;0;4;1;0;0;2;0;0;0;10;0
MINI;9;4;7;7;9;9;6;11;6;2;2;1;0;0;1;0;1;5;0;0;6;0;0;0;1;0;0;0;0;2;6;1;0;0;2;0;1;0;0;0;0;3;2;2;0;5;3;7;0;3
TECH;19;16;2;0;0;4;0;0;0;8;0;4;1;3;8;0;0;0;12;4;0;9;0;0;2;0;0;8;0;6;0;1;12;0;0;0;0;4;0;0;8;0;0;0;0;0;0;0;8;0
BEEN;11;6;6;3;2;3;2;4;1;6;3;8;2;3;0;0;0;2;0;0;3;0;1;2;0;0;2;0;2;0;1;1;0;0;2;0;1;0;0;0;2;3;1;2;0;1;0;0;0;1
DISPLAY;12;9;10;9;7;3;8;9;0;0;8;2;2;0;0;0;9;3;0;2;4;0;0;0;0;0;0;0;1;1;0;0;0;0;2;2;2;0;0;0;0;0;0;2;0;0;2;0;0;0
IOS;7;4;2;2;0;0;0;2;0;2;2;2;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0
MICROSOFT;14;12;0;1;0;4;0;0;0;0;0;6;3;0;0;0;0;0;10;0;0;11;0;8;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;4;2;0;0;1;0;2;0;10;0
USERS;10;8;1;2;0;1;3;3;0;1;5;5;0;0;2;0;1;0;0;1;0;0;0;0;2;1;2;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1
COMPANY;15;4;3;1;4;4;0;4;1;5;0;1;1;3;5;0;1;3;0;4;2;0;2;6;0;1;0;0;1;0;1;2;0;0;0;0;0;4;0;0;3;3;3;0;0;0;2;1;0;0
MAX;8;8;8;6;2;9;0;3;0;0;0;1;0;0;2;0;0;1;0;0;3;0;6;0;1;0;0;0;0;1;0;1;0;0;2;0;1;0;1;0;0;3;2;2;0;3;2;2;0;0
APPLE&AMP;11;6;5;4;5;4;0;1;1;0;0;3;2;2;0;0;0;2;0;0;2;0;1;1;1;0;0;0;0;2;1;0;1;0;1;0;4;0;1;0;2;2;2;0;0;0;1;0;0;0
GIANTS;10;9;0;0;0;4;0;0;0;2;0;4;0;1;0;0;0;0;8;0;0;8;0;12;0;0;0;8;0;0;0;1;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;8;0
IPADOS;0;2;2;0;0;0;0;0;0;0;12;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
LAUNCHED;4;5;8;4;5;2;2;2;0;1;2;1;0;0;2;0;2;3;0;1;10;0;2;0;2;2;0;0;0;0;2;1;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;0
NEXT;8;4;4;4;2;2;2;4;2;0;2;0;2;2;2;0;2;0;0;2;2;0;0;0;0;2;0;0;0;0;0;0;0;0;2;0;0;4;0;0;0;0;0;2;0;0;2;0;0;0
PEEK;12;5;3;1;12;1;2;2;0;0;2;1;0;0;0;0;2;3;0;0;1;0;1;0;1;2;0;0;0;0;1;4;0;0;1;0;0;0;0;0;2;0;0;0;0;0;2;0;0;0
STEVE;8;0;0;0;0;0;0;0;0;4;0;0;0;0;4;0;0;0;0;4;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0
YEAR;6;3;1;2;0;2;2;2;2;2;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;5;4;0;3;0;0;0;0;0
MONTEREY;0;7;0;0;0;0;0;11;0;0;0;0;0;0;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
OVER;17;10;5;2;2;4;0;0;0;5;0;4;2;3;1;0;0;0;4;0;0;4;0;8;2;0;2;4;0;3;0;2;4;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;4;0
REPORT;18;9;5;6;4;12;6;11;6;7;2;2;2;4;1;0;0;3;0;0;9;1;3;0;3;0;0;2;0;3;3;2;0;0;0;0;0;0;5;0;0;0;11;0;1;2;5;2;0;2
REPORTEDLY;8;3;1;4;3;8;4;9;5;4;0;1;1;3;1;0;0;1;0;0;6;0;2;0;1;0;0;0;0;3;2;2;0;0;0;0;0;0;4;0;0;11;0;0;0;0;3;2;0;2
SERIES;4;3;8;3;0;1;0;2;0;0;0;2;2;0;0;0;2;0;0;4;0;0;2;0;2;2;0;0;1;0;2;0;0;0;0;2;0;0;0;0;0;0;0;0;0;4;0;0;0;1
SHIPMENTS;7;5;2;2;0;2;0;0;0;1;0;0;3;2;0;0;0;0;2;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;0;0;1;0;0;0;0;0;0;0;0
TIPPED;7;3;5;1;3;4;5;4;2;1;3;0;1;0;1;0;0;2;0;0;5;0;5;0;1;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;2;0;4;0;0;2;0;0;0
CHIP;13;6;7;3;6;8;4;10;6;2;2;2;1;4;2;0;2;3;0;0;6;0;3;0;0;2;0;2;0;2;2;1;0;0;1;2;2;0;0;0;0;5;3;0;0;2;0;0;0;1
EXPECTED;8;3;5;7;6;6;5;7;5;1;2;0;0;0;3;0;0;3;0;0;3;0;7;0;0;0;0;0;0;1;2;0;0;0;0;0;0;0;0;0;0;2;2;0;0;0;0;0;0;3
META;10;10;0;0;0;4;0;0;0;0;0;6;2;0;0;0;0;0;10;0;0;10;0;8;0;0;0;10;0;0;0;0;8;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0
MODELS;6;3;2;5;4;4;4;7;6;1;0;2;1;2;1;1;0;1;0;2;1;0;3;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;2;1;0;0;1;3;0;0
